Time Elapsed, motor.Pos, motor.Temp, motor.W, motor.T, motor.MError
0.0207426,10825.2,27,33.8458,0.875,0,
0.0224818,10825.2,27,33.8458,0.875,0,
0.0434974,10826.7,27,67.4217,0.183594,0,
0.044517,10826.7,27,67.4217,0.183594,0,
0.0652471,10828.3,27,73.9749,0.0585938,0,
0.0665023,10828.3,27,73.9749,0.0585938,0,
0.0874926,10829.9,27,72.1586,0.0585938,0,
0.088486,10829.9,27,72.1586,0.0585938,0,
0.109394,10831.4,27,68.5752,0.132812,0,
0.110468,10831.4,27,68.5752,0.132812,0,
0.131482,10833,27,69.0907,0.15625,0,
0.132522,10833,27,69.0907,0.15625,0,
0.153292,10834.4,27,67.8635,0.164062,0,
0.154498,10834.4,27,67.8635,0.164062,0,
0.175279,10835.9,27,67.7162,0.167969,0,
0.176483,10835.9,27,67.7162,0.167969,0,
0.197308,10837.4,27,68.3298,0.152344,0,
0.198478,10837.4,27,68.3298,0.152344,0,
0.219369,10838.9,27,68.8943,0.132812,0,
0.220522,10838.9,27,68.8943,0.132812,0,
0.241269,10840.4,27,69.0416,0.148438,0,
0.242496,10840.4,27,69.0416,0.148438,0,
0.263253,10842,27,69.4343,0.109375,0,
0.264479,10842,27,69.4343,0.109375,0,
0.286603,10842,27,69.4343,0.109375,0,
0.307376,10845.1,27,72.674,0.0664062,0,
0.308456,10845.1,27,72.674,0.0664062,0,
0.329275,10846.7,27,73.6067,0.0390625,0,
0.330502,10846.7,27,73.6067,0.0390625,0,
0.35148,10848.4,27,74.613,0.0234375,0,
0.352483,10848.4,27,74.613,0.0234375,0,
0.37459,10848.4,27,74.613,0.0234375,0,
0.396578,10851.8,27,77.0183,-0.0234375,0,
0.398563,10851.8,27,77.0183,-0.0234375,0,
0.420606,10851.8,27,77.0183,-0.0234375,0,
0.44257,10855.4,27,77.1656,-0.0429688,0,
0.444489,10855.4,27,77.1656,-0.0429688,0,
0.466591,10855.4,27,77.1656,-0.0429688,0,
0.487484,10855.4,27,77.1656,-0.0429688,0,
0.508548,10855.4,27,77.1656,-0.0429688,0,
0.530574,10862.1,27,75.3739,0.00390625,0,
0.532485,10862.1,27,75.3739,0.00390625,0,
0.554516,10862.1,27,75.3739,0.00390625,0,
0.57536,10865.4,27,73.1895,0.0664062,0,
0.576436,10865.5,27,73.5822,0.0546875,0,
0.578484,10865.5,27,73.5822,0.0546875,0,
0.599477,10865.5,27,73.5822,0.0546875,0,
0.620551,10865.5,27,73.5822,0.0546875,0,
0.642509,10865.5,27,73.5822,0.0546875,0,
0.663309,10871.6,27,69.4343,0.132812,0,
0.664431,10871.6,27,69.4343,0.132812,0,
0.685251,10873.1,27,68.7961,0.140625,0,
0.686487,10873.1,27,68.7961,0.140625,0,
0.707294,10874.6,27,68.0598,0.136719,0,
0.708476,10874.6,27,68.0598,0.136719,0,
